"blk4Cor1Acc","blk4Cor2Acc","blk4Resolution","blk4Resolution2","blk4Resolution2Adv1","blk4Resolution2Adv2","blk4AverageCj1","adv1Agreed","adv2Agreed","agreedDiff","res2Diff","blk4MeanAdvisor1Sway","blk4MeanAdvisor2Sway","swayDiff","blk4AdviceSway","blk4AdviceSway1Diff","blk4AdviceSway2Diff",
0.85,0.8,2.3595,3.6536,3.75,6.963,10.45,0.56667,0.66667,0.1,3.213,12.1,6.1,-6,12.8333,-0.066667,0.13333,
0.76667,0.78333,10.1584,9.9596,10.1538,8.55,20.7167,0.7,0.7,0,-1.6038,3.7667,3.3667,-0.4,3.8,0.066667,0.33333,
0.68333,0.71667,3.8729,7.4069,6.086,10.2083,11.3833,0.46667,0.63333,0.16667,4.1224,3.9,2.4,-1.5,4.4833,-0.66667,0.16667,
0.63333,0.73333,2.9043,5.7895,6.0144,5.5646,21.0667,0.53333,0.6,0.066667,-0.44976,6.2,1.6667,-4.5333,7.0333,-1.4,-0.033333,
0.66667,0.63333,2.675,9.45,11.9365,7.5885,19.5333,0.53333,0.53333,0,-4.348,9.7667,13.6333,3.8667,14.9667,0,-1.2333,
0.8,0.81667,1.6458,0.375,2.88,1.4534,15.4833,0.6,0.6,0,-1.4266,4.0333,2.8667,-1.1667,3.9833,-0.23333,-0.63333,
0.7,0.76667,13.3175,12.3095,11.8,12.8068,27.9333,0.63333,0.43333,-0.2,1.0068,7.5,10.4,2.9,17.0167,0.43333,-0.7,
0.81667,0.76667,0.14471,4.6494,6.4545,2,21.7,0.63333,0.66667,0.033333,-4.4545,3.9667,3.7667,-0.2,7.0333,-1.0667,1.2667,
0.63333,0.68333,4.8206,7.2775,0.65072,13.9043,20.9167,0.73333,0.53333,-0.2,13.2536,3.2667,9.3,6.0333,7.75,-0.33333,0.33333,
0.61667,0.61667,4.3196,7.4571,3.8095,9.4107,16.5333,0.53333,0.56667,0.033333,5.6012,1.1667,2.7,1.5333,4.4,0,0,
0.7,0.68333,8.5873,7.5238,7.4907,6.4019,15.2333,0.53333,0.4,-0.13333,-1.0888,3.4333,1.4333,-2,5.9333,0.033333,0.033333,
